ERROR | utils | 2023-04-03 22:28:14,847 | 38 | Start calculating
ERROR | utils | 2023-04-03 22:47:10,005 | 46 | Start calculating
ERROR | utils | 2023-04-03 22:47:10,006 | 34 | Start summing
ERROR | utils | 2023-04-03 22:47:10,006 | 36 | Start minus
ERROR | utils | 2023-04-03 22:47:10,006 | 38 | Start multiplying
ERROR | utils | 2023-04-03 22:47:10,006 | 40 | Start division
ERROR | utils | 2023-04-03 22:47:10,007 | 48 | End calculating
ERROR | utils | 2023-04-03 22:55:36,865 | 47 | Start calculating
ERROR | utils | 2023-04-03 22:55:36,865 | 34 | Start summing
ERROR | utils | 2023-04-03 22:55:36,866 | 36 | Start minus
ERROR | utils | 2023-04-03 22:55:36,866 | 38 | Start multiplying
ERROR | utils | 2023-04-03 22:55:36,866 | 40 | Start division
ERROR | utils | 2023-04-03 22:55:36,866 | 49 | End calculating
ERROR | utils | 2023-04-03 22:55:56,305 | 47 | Start calculating
ERROR | utils | 2023-04-03 22:55:56,305 | 34 | Start summing
ERROR | utils | 2023-04-03 22:55:56,306 | 36 | Start minus
ERROR | utils | 2023-04-03 22:55:56,306 | 38 | Start multiplying
ERROR | utils | 2023-04-03 22:55:56,306 | 40 | Start division
ERROR | utils | 2023-04-03 22:55:56,306 | 49 | End calculating
ERROR | utils | 2023-04-03 22:57:05,654 | 47 | Start calculating
ERROR | utils | 2023-04-03 22:57:05,654 | 34 | Start summing
ERROR | utils | 2023-04-03 22:57:05,654 | 36 | Start minus
ERROR | utils | 2023-04-03 22:57:05,654 | 38 | Start multiplying
ERROR | utils | 2023-04-03 22:57:05,655 | 40 | Start division
ERROR | utils | 2023-04-03 22:57:05,655 | 49 | End calculating
ERROR | utils | 2023-04-03 22:57:45,282 | 47 | Start calculating
ERROR | utils | 2023-04-03 22:57:45,283 | 34 | Start summing
ERROR | utils | 2023-04-03 22:57:45,283 | 36 | Start minus
ERROR | utils | 2023-04-03 22:57:45,283 | 38 | Start multiplying
ERROR | utils | 2023-04-03 22:57:45,284 | 40 | Start division
ERROR | utils | 2023-04-03 22:57:45,284 | 49 | End calculating
ERROR | utils | 2023-04-03 23:16:45,080 | 47 | Start calculating
ERROR | utils | 2023-04-03 23:16:45,080 | 34 | Start summing
ERROR | utils | 2023-04-03 23:16:45,080 | 36 | Start minus
ERROR | utils | 2023-04-03 23:16:45,080 | 38 | Start multiplying
ERROR | utils | 2023-04-03 23:16:45,080 | 40 | Start division
ERROR | utils | 2023-04-03 23:16:45,081 | 49 | End calculating
ERROR | utils | 2023-04-03 23:17:35,352 | 47 | Start calculating
ERROR | utils | 2023-04-03 23:17:35,352 | 34 | Start summing
ERROR | utils | 2023-04-03 23:17:35,353 | 36 | Start minus
ERROR | utils | 2023-04-03 23:17:35,353 | 38 | Start multiplying
ERROR | utils | 2023-04-03 23:17:35,353 | 40 | Start division
ERROR | utils | 2023-04-03 23:17:35,353 | 49 | End calculating
ERROR | utils | 2023-04-03 23:18:50,875 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:18:50,875 | 36 | Start summing
ERROR | utils | 2023-04-03 23:18:50,875 | 38 | Start minus
ERROR | utils | 2023-04-03 23:18:50,876 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:18:50,876 | 42 | Start division
ERROR | utils | 2023-04-03 23:18:50,876 | 52 | End calculating
ERROR | utils | 2023-04-03 23:20:31,260 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:20:31,260 | 36 | Start summing
ERROR | utils | 2023-04-03 23:20:31,260 | 38 | Start minus
ERROR | utils | 2023-04-03 23:20:31,261 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:20:31,261 | 42 | Start division
ERROR | utils | 2023-04-03 23:20:31,262 | 52 | End calculating
ERROR | utils | 2023-04-03 23:29:28,622 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:29:28,622 | 36 | Start summing
ERROR | utils | 2023-04-03 23:29:28,622 | 38 | Start minus
ERROR | utils | 2023-04-03 23:29:28,622 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:29:28,623 | 42 | Start division
ERROR | utils | 2023-04-03 23:29:28,623 | 52 | End calculating
ERROR | utils | 2023-04-03 23:29:57,807 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:29:57,808 | 36 | Start summing
ERROR | utils | 2023-04-03 23:29:57,808 | 38 | Start minus
ERROR | utils | 2023-04-03 23:29:57,808 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:29:57,809 | 42 | Start division
ERROR | utils | 2023-04-03 23:29:57,809 | 52 | End calculating
ERROR | utils | 2023-04-03 23:30:42,827 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:30:42,828 | 36 | Start summing
ERROR | utils | 2023-04-03 23:30:42,828 | 38 | Start minus
ERROR | utils | 2023-04-03 23:30:42,828 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:30:42,829 | 42 | Start division
ERROR | utils | 2023-04-03 23:30:42,829 | 52 | End calculating
ERROR | utils | 2023-04-03 23:30:57,295 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:30:57,295 | 36 | Start summing
ERROR | utils | 2023-04-03 23:30:57,296 | 38 | Start minus
ERROR | utils | 2023-04-03 23:30:57,296 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:30:57,296 | 42 | Start division
ERROR | utils | 2023-04-03 23:30:57,297 | 52 | End calculating
ERROR | utils | 2023-04-03 23:34:10,664 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:34:10,664 | 36 | Start summing
ERROR | utils | 2023-04-03 23:34:10,664 | 38 | Start minus
ERROR | utils | 2023-04-03 23:34:10,665 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:34:10,665 | 42 | Start division
ERROR | utils | 2023-04-03 23:34:10,666 | 52 | End calculating
ERROR | utils | 2023-04-03 23:34:50,694 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:34:50,694 | 36 | Start summing
ERROR | utils | 2023-04-03 23:34:50,695 | 38 | Start minus
ERROR | utils | 2023-04-03 23:34:50,695 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:34:50,695 | 42 | Start division
ERROR | utils | 2023-04-03 23:34:50,695 | 52 | End calculating
ERROR | utils | 2023-04-03 23:35:17,133 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:35:17,133 | 36 | Start summing
ERROR | utils | 2023-04-03 23:35:17,133 | 38 | Start minus
ERROR | utils | 2023-04-03 23:35:17,133 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:35:17,134 | 42 | Start division
ERROR | utils | 2023-04-03 23:35:17,134 | 52 | End calculating
ERROR | utils | 2023-04-03 23:35:42,685 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:35:42,686 | 36 | Start summing
ERROR | utils | 2023-04-03 23:35:42,686 | 38 | Start minus
ERROR | utils | 2023-04-03 23:35:42,686 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:35:42,687 | 42 | Start division
ERROR | utils | 2023-04-03 23:35:42,687 | 52 | End calculating
ERROR | utils | 2023-04-03 23:35:45,940 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:35:45,940 | 36 | Start summing
ERROR | utils | 2023-04-03 23:35:45,941 | 38 | Start minus
ERROR | utils | 2023-04-03 23:35:45,941 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:35:45,941 | 42 | Start division
ERROR | utils | 2023-04-03 23:35:45,943 | 52 | End calculating
ERROR | utils | 2023-04-03 23:35:47,893 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:35:47,893 | 36 | Start summing
ERROR | utils | 2023-04-03 23:35:47,893 | 38 | Start minus
ERROR | utils | 2023-04-03 23:35:47,893 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:35:47,894 | 42 | Start division
ERROR | utils | 2023-04-03 23:35:47,894 | 52 | End calculating
ERROR | utils | 2023-04-03 23:36:24,554 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:36:24,555 | 36 | Start summing
ERROR | utils | 2023-04-03 23:36:24,555 | 38 | Start minus
ERROR | utils | 2023-04-03 23:36:24,556 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:36:24,556 | 42 | Start division
ERROR | utils | 2023-04-03 23:36:24,556 | 52 | End calculating
ERROR | utils | 2023-04-03 23:36:29,789 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:36:29,790 | 36 | Start summing
ERROR | utils | 2023-04-03 23:36:29,790 | 38 | Start minus
ERROR | utils | 2023-04-03 23:36:29,790 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:36:29,791 | 42 | Start division
ERROR | utils | 2023-04-03 23:36:29,791 | 52 | End calculating
ERROR | utils | 2023-04-03 23:37:06,379 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:37:06,380 | 36 | Start summing
ERROR | utils | 2023-04-03 23:37:06,380 | 38 | Start minus
ERROR | utils | 2023-04-03 23:37:06,380 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:37:06,381 | 42 | Start division
ERROR | utils | 2023-04-03 23:37:06,381 | 52 | End calculating
ERROR | utils | 2023-04-03 23:37:25,882 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:37:25,882 | 36 | Start summing
ERROR | utils | 2023-04-03 23:37:25,883 | 38 | Start minus
ERROR | utils | 2023-04-03 23:37:25,883 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:37:25,883 | 42 | Start division
ERROR | utils | 2023-04-03 23:37:25,883 | 52 | End calculating
ERROR | utils | 2023-04-03 23:37:39,491 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:37:39,491 | 36 | Start summing
ERROR | utils | 2023-04-03 23:37:39,491 | 38 | Start minus
ERROR | utils | 2023-04-03 23:37:39,493 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:37:39,493 | 42 | Start division
ERROR | utils | 2023-04-03 23:37:39,493 | 52 | End calculating
ERROR | utils | 2023-04-03 23:38:26,447 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:38:26,448 | 36 | Start summing
ERROR | utils | 2023-04-03 23:38:26,448 | 38 | Start minus
ERROR | utils | 2023-04-03 23:38:26,448 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:38:26,448 | 42 | Start division
ERROR | utils | 2023-04-03 23:38:26,449 | 52 | End calculating
ERROR | utils | 2023-04-03 23:39:49,570 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:39:49,570 | 36 | Start summing
ERROR | utils | 2023-04-03 23:39:49,570 | 38 | Start minus
ERROR | utils | 2023-04-03 23:39:49,570 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:39:49,571 | 42 | Start division
ERROR | utils | 2023-04-03 23:39:49,571 | 52 | End calculating
ERROR | utils | 2023-04-03 23:40:18,632 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:40:18,632 | 36 | Start summing
ERROR | utils | 2023-04-03 23:40:18,632 | 38 | Start minus
ERROR | utils | 2023-04-03 23:40:18,632 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:40:18,633 | 42 | Start division
ERROR | utils | 2023-04-03 23:40:18,633 | 52 | End calculating
ERROR | utils | 2023-04-03 23:40:23,818 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:40:23,818 | 36 | Start summing
ERROR | utils | 2023-04-03 23:40:23,818 | 38 | Start minus
ERROR | utils | 2023-04-03 23:40:23,818 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:40:23,819 | 42 | Start division
ERROR | utils | 2023-04-03 23:40:23,819 | 52 | End calculating
ERROR | utils | 2023-04-03 23:46:30,066 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:46:30,066 | 36 | Start summing
ERROR | utils | 2023-04-03 23:46:30,067 | 38 | Start minus
ERROR | utils | 2023-04-03 23:46:30,067 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:46:30,067 | 42 | Start division
ERROR | utils | 2023-04-03 23:46:30,068 | 52 | End calculating
ERROR | utils | 2023-04-03 23:46:39,415 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:46:39,416 | 36 | Start summing
ERROR | utils | 2023-04-03 23:46:39,416 | 38 | Start minus
ERROR | utils | 2023-04-03 23:46:39,416 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:46:39,416 | 42 | Start division
ERROR | utils | 2023-04-03 23:46:39,416 | 52 | End calculating
ERROR | utils | 2023-04-03 23:47:36,286 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:47:36,286 | 36 | Start summing
ERROR | utils | 2023-04-03 23:47:36,286 | 38 | Start minus
ERROR | utils | 2023-04-03 23:47:36,286 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:47:36,286 | 42 | Start division
ERROR | utils | 2023-04-03 23:47:36,287 | 52 | End calculating
ERROR | utils | 2023-04-03 23:48:59,670 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:48:59,671 | 36 | Start summing
ERROR | utils | 2023-04-03 23:48:59,671 | 38 | Start minus
ERROR | utils | 2023-04-03 23:48:59,671 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:48:59,671 | 42 | Start division
ERROR | utils | 2023-04-03 23:48:59,672 | 52 | End calculating
ERROR | utils | 2023-04-03 23:50:57,487 | 50 | Start calculating
ERROR | utils | 2023-04-03 23:50:57,488 | 36 | Start summing
ERROR | utils | 2023-04-03 23:50:57,488 | 38 | Start minus
ERROR | utils | 2023-04-03 23:50:57,488 | 40 | Start multiplying
ERROR | utils | 2023-04-03 23:50:57,489 | 42 | Start division
ERROR | utils | 2023-04-03 23:50:57,489 | 52 | End calculating
ERROR | utils | 2023-04-04 00:00:44,122 | 50 | Start calculating
ERROR | utils | 2023-04-04 00:00:44,122 | 36 | Start summing
ERROR | utils | 2023-04-04 00:00:44,122 | 38 | Start minus
ERROR | utils | 2023-04-04 00:00:44,122 | 40 | Start multiplying
ERROR | utils | 2023-04-04 00:00:44,123 | 42 | Start division
ERROR | utils | 2023-04-04 00:00:44,123 | 52 | End calculating
